fecha_proceso,operacion_id,codigoIdentificacionCliente,monto_apertura,tasa_apertura,monto_actual,interes_dia,estado,es_pignorado,tipo_renovacion,instruccion_renovacion,fecha_renovacion,fecha_apertura,fecha_vencimiento,fecha_cancelacion_real,interes_acumulado_mes,periodo
2025-12-01,INV-00000,CUS-00103,133466.77,0.0837,133466.77,31.031,PIGNORADO,True,SIN RENOVACION,NA,,2025-09-02,2026-08-28,,31.031,20251201
2025-12-01,INV-00001,CUS-00436,94300.16,0.0755,94300.16,19.7768,VIGENTE,False,SIN RENOVACION,NA,,2025-09-03,2026-08-29,,19.7768,20251201
2025-12-01,INV-00002,CUS-00349,38779.12,0.0732,38779.12,7.8851,VIGENTE,False,SIN RENOVACION,NA,,2025-11-15,2026-05-14,,7.8851,20251201
2025-12-01,INV-00003,CUS-00271,8538.11,0.0644,8538.11,1.5274,VIGENTE,False,AUTOMATICA,SOLO CAPITAL,2026-05-13,2025-11-14,2026-05-13,,1.5274,20251201
2025-12-01,INV-00004,CUS-00107,131164.34,0.0698,131164.34,25.4313,VIGENTE,False,POR VENTANILLA,CAPITAL + INTERES,2025-12-09,2025-06-12,2025-12-09,,25.4313,20251201
2025-12-01,INV-00005,CUS-00072,8084.06,0.073,8084.06,1.6393,VIGENTE,False,AUTOMATICA,CAPITAL + INTERES,2026-08-03,2025-08-08,2026-08-03,,1.6393,20251201
2025-12-01,INV-00006,CUS-00189,131831.74,0.0627,131831.74,22.9607,VIGENTE,False,SIN RENOVACION,NA,,2025-08-31,2026-02-27,,22.9607,20251201
2025-12-01,INV-00007,CUS-00021,81695.88,0.0666,81695.88,15.1137,PIGNORADO,True,POR VENTANILLA,NA,2026-03-01,2025-09-02,2026-03-01,,15.1137,20251201
2025-12-01,INV-00008,CUS-00103,141164.82,0.0779,141164.82,30.5465,VIGENTE,False,SIN RENOVACION,NA,,2025-09-11,2025-12-10,,30.5465,20251201
2025-12-01,INV-00009,CUS-00122,120823.57,0.0821,120823.57,27.5545,VIGENTE,False,AUTOMATICA,CAPITAL + INTERES,2025-12-24,2025-09-25,2025-12-24,,27.5545,20251201
2025-12-01,INV-00010,CUS-00467,149700.45,0.09,149700.45,37.4251,PIGNORADO,True,AUTOMATICA,CAPITAL + INTERES,2026-02-06,2025-08-10,2026-02-06,,37.4251,20251201
